Material_Type,Material_Name,C10_library_LSE,C11_library_LSE,C12_library_LSE,C13_library_LSE,C14_library_LSE,OE_retrieved_LST,C10_OE_retrieved_LSE,C11_OE_retrieved_LSE,C12_OE_retrieved_LSE,C13_OE_retrieved_LSE,C14_OE_retrieved_LSE,OE_retrieved_LST_uncertainty,C10_OE_retrieved_LSE_uncertainty,C11_OE_retrieved_LSE_uncertainty,C12_OE_retrieved_LSE_uncertainty,C13_OE_retrieved_LSE_uncertainty,C14_OE_retrieved_LSE_uncertainty
Urban,Tan Brick,0.917517974,0.930422893,0.932162912,0.967653367,0.970733269,306.1706,0.90519,0.9135031,0.91485494,0.95570034,0.955096,1.4465138,0.030560905,0.02796457,0.02618137,0.02226561,0.022056993
Urban,Atkinson California Common Red Brick,0.958790058,0.935683842,0.910750062,0.932223172,0.945297318,306.35684,0.9289194,0.9044546,0.89806414,0.9142596,0.9289879,1.4417939,0.031276803,0.027998153,0.026160887,0.021877825,0.021704704
Urban,Atkinson Oversize Commercial Red Brick,0.950264343,0.926541491,0.896016703,0.922863769,0.934028278,305.97235,0.92886657,0.9008778,0.89281094,0.9097826,0.9261379,1.4337562,0.03133088,0.027763972,0.025890762,0.021626068,0.021529725
Urban,Clay Brick (Common),0.957187721,0.939705014,0.903964881,0.942426277,0.95921354,306.95142,0.914811,0.89301986,0.88408744,0.91532815,0.93232906,1.4538741,0.030878661,0.027573857,0.025724206,0.021739883,0.02167497
Urban,Atkinson California Common Brick Oversize,0.962694694,0.952328705,0.939269122,0.946877984,0.952471764,306.1528,0.94094646,0.92854345,0.92668605,0.9334185,0.9391059,1.436419,0.031395994,0.028311118,0.0264609,0.021994064,0.021774711
Urban,Brick Clay (Rustic),0.949395946,0.96393394,0.963733273,0.97163048,0.970351452,306.16144,0.93588704,0.9453454,0.94641906,0.9600848,0.9560675,1.4462762,0.03115975,0.028414115,0.026598318,0.022233123,0.02195809
Urban,True Cast Concrete Brick (Grey),0.934225707,0.947540119,0.951832531,0.966648169,0.963424246,305.82986,0.9287626,0.93821436,0.93996286,0.95979923,0.955727,1.4412327,0.03103658,0.028306225,0.02647529,0.02223856,0.021984354
Urban,Masonry m.cap Red,0.964106812,0.943280293,0.911528877,0.949714305,0.952509494,306.63632,0.9252487,0.9030849,0.89801043,0.9226733,0.9357561,1.4437807,0.03104591,0.027905818,0.026092745,0.021919286,0.021765066
Urban,Masonry m.cap-Tan,0.913792203,0.93079636,0.941796098,0.970975976,0.973449662,306.06937,0.9061927,0.92033464,0.92333835,0.9623955,0.9585639,1.4429479,0.030587936,0.028044164,0.026269738,0.02233502,0.022106541
Urban,Masonry m.cap-Natural,0.910583133,0.933035648,0.945100468,0.967578631,0.965776502,305.60928,0.9145014,0.93134785,0.93454355,0.9661472,0.9599584,1.4381224,0.030757202,0.028204143,0.02639977,0.022334827,0.022085624
Urban,A001,0.941689326,0.951518653,0.951518653,0.964920704,0.958879817,305.79205,0.93523985,0.9413936,0.94237006,0.957119,0.95386696,1.4382458,0.031162176,0.028371267,0.026541313,0.022192191,0.021936141
Urban,A004,0.889873707,0.905623282,0.905623282,0.949981065,0.95592818,305.5046,0.8939101,0.9009237,0.9017118,0.9495311,0.9505726,1.4306254,0.030457677,0.027785718,0.025989665,0.022250736,0.022058899
Urban,A005,0.893587934,0.886133608,0.886133608,0.938358307,0.946500646,305.66403,0.8885235,0.8802034,0.8804968,0.93279624,0.9406767,1.4297171,0.030380948,0.027587693,0.02578811,0.02213367,0.021979561
Urban,A006,0.827926438,0.825087844,0.825087844,0.922622853,0.93751435,305.27118,0.83414286,0.8271539,0.8272564,0.9237841,0.93727374,1.4297649,0.029091805,0.026632698,0.02491328,0.022199975,0.022173332
Urban,A008,0.929292357,0.942421286,0.942421286,0.948270117,0.945056754,305.13678,0.93923366,0.9448407,0.94555235,0.95297116,0.94948274,1.4254091,0.0313265,0.0284499,0.02660837,0.022167115,0.021887116
Urban,A009,0.948444149,0.95141132,0.95141132,0.952443254,0.94412302,305.3441,0.95001864,0.95051634,0.9512365,0.95084566,0.94822055,1.4307657,0.03149496,0.0285521,0.026716165,0.02211451,0.021833181
Urban,A010,0.957168289,0.960567521,0.960567521,0.958990943,0.950387445,305.59573,0.95262617,0.95427173,0.955094,0.95338637,0.9500915,1.4342574,0.031531896,0.028581105,0.026735678,0.02212679,0.021842195
Urban,B001,0.849201841,0.900128273,0.900128273,0.964063771,0.95926369,304.75317,0.8736325,0.9087341,0.90999746,0.9752611,0.96663994,1.4207296,0.029970098,0.028129743,0.026312253,0.022905542,0.022530625
Urban,B002,0.871578758,0.884022172,0.884022172,0.948725574,0.954643234,305.5238,0.8743371,0.87967414,0.88047427,0.9462694,0.9499066,1.43188,0.030048737,0.02746128,0.025678292,0.02226188,0.022105796
Urban,B003,0.891917642,0.933732311,0.933732311,0.945579663,0.944967266,304.4548,0.9243278,0.94858813,0.9495802,0.9656234,0.9568305,1.4156369,0.031262264,0.028891746,0.027034849,0.022527331,0.022126505
Urban,B004,0.937906825,0.867191498,0.867191498,0.904634835,0.928055753,306.5534,0.9005962,0.8472579,0.8466797,0.88356173,0.9094145,1.4467258,0.030701503,0.026812613,0.025028164,0.021385761,0.021431966
Urban,B006,0.750686195,0.75650199,0.75650199,0.923573125,0.93537654,305.0636,0.7628207,0.7636818,0.7647827,0.92360616,0.9391259,1.4348453,0.027507046,0.025466554,0.02384426,0.02248751,0.022536408
Urban,B007,0.833681831,0.869996281,0.869996281,0.958740894,0.957945773,305.06915,0.8487506,0.87370473,0.8748684,0.96282244,0.9607686,1.4252293,0.02935909,0.02741531,0.025651017,0.022779975,0.022525933
Urban,B008,0.939900597,0.898697123,0.898697123,0.934420416,0.947969357,306.49527,0.906466,0.87833023,0.8781328,0.91411203,0.92897034,1.4361467,0.030786445,0.027663806,0.025854405,0.021933887,0.021799257
Urban,B009,0.900237419,0.920880066,0.920880066,0.954901205,0.959069515,305.51385,0.9046042,0.9153865,0.9163102,0.95496464,0.95339805,1.4334916,0.030641897,0.027981916,0.026177017,0.022263758,0.022049386
Urban,B010,0.925657357,0.934281408,0.934281408,0.937165444,0.936074433,304.8754,0.94099516,0.9423218,0.94275796,0.94641083,0.94454646,1.4169827,0.031445716,0.028466308,0.026622415,0.02210753,0.021846458
